"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"AGAP1"	2.70876970716759e-12	-51.116678166607	0.575	0.649	9.9143680052041e-08	"0"	"AGAP1"
"PRKACB"	2.7115151961789e-12	-11.4068240369308	0.336	0.453	9.9244167695344e-08	"0"	"PRKACB"
"SPIRE1"	2.81482631992577e-12	-7.04598912455568	0.239	0.369	1.03025458135603e-07	"0"	"SPIRE1"
"STAG2"	2.82767095740988e-12	-16.3866462487753	0.216	0.347	1.03495584712159e-07	"0"	"STAG2"
"PAG1"	2.84975263888863e-12	-21.0081316144279	0.281	0.404	1.04303796335963e-07	"0"	"PAG1"
"CARMIL1"	2.86690983719514e-12	-136.50339988041	0.307	0.414	1.04931766951179e-07	"0"	"CARMIL1"
"PTPRO"	2.89061691186481e-12	-9.10270679714708	0.032	0.122	1.05799469591164e-07	"0"	"PTPRO"
"EIF4G3"	3.32766359631096e-12	-12.5612963372635	0.512	0.594	1.21795815288578e-07	"0"	"EIF4G3"
"DOCK9"	4.10549798004426e-12	-9.15121664617892	0.31	0.427	1.502653315676e-07	"0"	"DOCK9"
"FHIT"	4.134381271042e-12	-38.7532336242617	0.036	0.126	1.51322488901408e-07	"0"	"FHIT"
"FGF12"	4.35030544460064e-12	-33.9762171517134	0.445	0.543	1.59225529577828e-07	"0"	"FGF12"
"TBC1D5"	4.47969445301735e-12	-18.9716180272054	0.375	0.493	1.63961296674888e-07	"0"	"TBC1D5"
"MAP1B"	4.59887029320649e-12	-20.9923586414606	0.617	0.684	1.68323251601651e-07	"0"	"MAP1B"
"MARCKS"	4.62926861832211e-12	-5.76673858024023	0.055	0.154	1.69435860699208e-07	"0"	"MARCKS"
"CDC73"	5.1250677542077e-12	-5.50190559365129	0.13	0.249	1.87582604871756e-07	"0"	"CDC73"
"PRKN"	5.56623203332027e-12	-62.8481165610669	0.188	0.307	2.03729658651555e-07	"0"	"PRKN"
"ATG10"	5.83393675333342e-12	-4.91285105336515	0.068	0.17	2.13527919108757e-07	"0"	"ATG10"
"RTN4"	5.87937198295547e-12	-12.769308387289	0.306	0.424	2.15190893948153e-07	"0"	"RTN4"
"STRN3"	6.13478249486617e-12	-6.07261272333099	0.213	0.339	2.24539174094597e-07	"0"	"STRN3"
"ANKRD17"	6.66157832877227e-12	-20.8464297272479	0.457	0.555	2.43820428411394e-07	"0"	"ANKRD17"
"ZNF644"	6.76467040484638e-12	-7.33503654978583	0.255	0.381	2.47593701487782e-07	"0"	"ZNF644"
"BOC"	6.83350298831518e-12	-89.3544428478345	0.048	0.141	2.50113042875324e-07	"0"	"BOC"
"RYK"	6.95831871613716e-12	-12.2721539158211	0.1	0.21	2.54681423329336e-07	"0"	"RYK"
"TSC22D2"	7.10686613066159e-12	-4.66110680783286	0.077	0.183	2.60118407248345e-07	"0"	"TSC22D2"
"ARID1B"	7.40626017433431e-12	-26.2232258634098	0.601	0.67	2.7107652864081e-07	"0"	"ARID1B"
"RALGAPA2"	7.7637216603628e-12	-31.9537792269735	0.239	0.365	2.84159976490939e-07	"0"	"RALGAPA2"
"CACNA2D1"	7.86909739864845e-12	-71.3713479728392	0.299	0.416	2.88016833887932e-07	"0"	"CACNA2D1"
"SLC4A4"	9.08200179516135e-12	-132.87202555879	0.262	0.383	3.324103477047e-07	"0"	"SLC4A4"
