"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"DOCK9"	8.82842859187059e-30	-9.99350370068629	0.331	0.529	3.23129314891056e-25	"0"	"DOCK9"
"UBE2E2"	9.77922680419167e-30	-23.3378149767202	0.451	0.646	3.57929480260219e-25	"0"	"UBE2E2"
"AL627171.2"	1.14203944148308e-29	-9.04951465626524	0.03	0.199	4.17997855977223e-25	"0"	"AL627171.2"
"CDC42BPA"	1.17471326018549e-29	-48.9545629232052	0.639	0.767	4.29956800360493e-25	"0"	"CDC42BPA"
"EIF4G3"	1.21187984200155e-29	-13.1113512829222	0.576	0.709	4.43560140970988e-25	"0"	"EIF4G3"
"KCTD8"	1.43674561693737e-29	-37.267202868665	0.444	0.619	5.25863263255246e-25	"0"	"KCTD8"
"LRBA"	1.95582214446759e-29	-28.8995438569102	0.423	0.597	7.15850463096582e-25	"0"	"LRBA"
"SIK3"	2.12207927213062e-29	-25.1888780253819	0.558	0.706	7.76702234392526e-25	"0"	"SIK3"
"ZEB1"	2.28214457614875e-29	-152.31024777143	0.311	0.51	8.35287736316204e-25	"0"	"ZEB1"
"MON2"	2.44404798467807e-29	-13.1825246546872	0.598	0.73	8.94546002872019e-25	"0"	"MON2"
"DENND1A"	2.52524044400961e-29	-16.8996507484607	0.349	0.558	9.24263254911957e-25	"0"	"DENND1A"
"TMEM161B-AS1"	3.46988568316725e-29	-49.2980578127342	0.447	0.637	1.27001285889605e-24	"0"	"TMEM161B-AS1"
"TBC1D5"	4.08114063054869e-29	-19.5613032258573	0.41	0.607	1.49373828218712e-24	"0"	"TBC1D5"
"NOVA1"	4.41799475192268e-29	-23.0003917149873	0.485	0.644	1.61703025915122e-24	"0"	"NOVA1"
"PAG1"	4.56867042494102e-29	-21.5793798262485	0.3	0.501	1.67217906223266e-24	"0"	"PAG1"
"TNKS"	4.69853264848091e-29	-32.6108940006361	0.388	0.594	1.7197099346705e-24	"0"	"TNKS"
"SBF2"	4.88987088302711e-29	-10.3291907841933	0.454	0.638	1.78974164189675e-24	"0"	"SBF2"
"FYN"	5.01841983991746e-29	-80.7111088572741	0.351	0.549	1.83679184560819e-24	"0"	"FYN"
"PDE1A"	5.13915930596567e-29	-50.3946550048577	0.813	0.817	1.88098369757649e-24	"0"	"PDE1A"
"STK39"	5.32606895550629e-29	-17.1921032440102	0.361	0.56	1.94939449840486e-24	"0"	"STK39"
"TMCC1"	6.16007416492525e-29	-16.2052373547328	0.342	0.547	2.25464874510429e-24	"0"	"TMCC1"
"PIAS1"	6.52044866618420e-29	-20.4341869837445	0.336	0.548	2.38654941631008e-24	"0"	"PIAS1"
"PDE4B"	6.6823205616199e-29	-42.1889820908201	0.385	0.563	2.4457961487585e-24	"0"	"PDE4B"
"MEF2A"	6.877651636148e-29	-29.3143541813025	0.342	0.549	2.51728927534653e-24	"0"	"MEF2A"
